饰物名字	大类型	副类型	详细类别	重量	价格	五行	耐久	"防御力(外,内)"	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	评价等级	是否能交易(0能1不能)	是否能丢弃(0能1不能)	流派需求	是否可维修（0是/1否）
车骑之将军佩	0	102	1772	5	50		70						1770201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	17	0
车骑之战士佩	0	102	1753	3	50		50						1750301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	17	0
车骑之将军佩	0	102	1773	5	50		70						1770301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	17	0
车骑之战士佩	0	102	1754	3	50		50						1750401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	17	0
车骑之将军佩	0	102	1774	5	50		70						1770401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	17	0
扬威之定国佩	0	102	1851	3	50		50						1850101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	18	0
扬威之安邦佩	0	102	1871	5	50		70						1870101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	18	0
扬威之定国佩	0	102	1852	3	50		50						1850201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	18	0
扬威之安邦佩	0	102	1872	5	50		70						1870201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	18	0
扬威之定国佩	0	102	1853	3	50		50						1850301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	18	0
扬威之安邦佩	0	102	1873	5	50		70						1870301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	18	0
扬威之定国佩	0	102	1854	3	50		50						1850401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	18	0
扬威之安邦佩	0	102	1874	5	50		70						1870401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	18	0
幽珑之流云佩	0	102	2051	3	50		50						2050101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	20	0
幽冥之千钧佩	0	102	2071	5	50		70						2070101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	20	0
幽珑之流云佩	0	102	2052	3	50		50						2050201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	20	0
幽冥之千钧佩	0	102	2072	5	50		70						2070201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	20	0
幽珑之流云佩	0	102	2053	3	50		50						2050301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	20	0
幽冥之千钧佩	0	102	2073	5	50		70						2070301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	20	0
幽珑之流云佩	0	102	2054	3	50		50						2050401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	20	0
幽冥之千钧佩	0	102	2074	5	50		70						2070401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	20	0
苗门之巫蛊佩	0	102	2151	3	50		50						2150101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	21	0
苗门之蚀心佩	0	102	2171	5	50		70						2170101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	21	0
苗门之巫蛊佩	0	102	2152	3	50		50						2150201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	21	0
苗门之蚀心佩	0	102	2172	5	50		70						2170201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	21	0
苗门之巫蛊佩	0	102	2153	3	50		50						2150301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	21	0
苗门之蚀心佩	0	102	2173	5	50		70						2170301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	21	0
苗门之巫蛊佩	0	102	2154	3	50		50						2150401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	21	0
苗门之蚀心佩	0	102	2174	5	50		70						2170401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	21	0
																												
混元扳指	0	102	211	5	2000	0	50						2011	55	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	少林俗家高级弟子佩带之扳指，刻有数条佛经		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	2	0
混元扳指	0	102	212	5	2000	0	50						2012	55	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	少林俗家高级弟子佩带之扳指，刻有数条佛经		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	2	0
伏魔金刚之战意扳指	0	102	221	10	10000	0	100						2021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩扳指一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	2	0
伏魔金刚之战意扳指	0	102	222	10	10000	0	100						2022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩扳指一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	2	0
伏魔金刚之战意玉戒	0	102	223	10	10000	0	100						2021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩玉戒一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	2	0
伏魔金刚之战意玉戒	0	102	224	10	10000	0	100						2022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩玉戒一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	2	0
伏魔金刚之战意扳指	0	102	2219	10	0	0	100						92021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩扳指一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	2	0
伏魔金刚之战意扳指	0	102	2229	10	0	0	100						92022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩扳指一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	2	0
伏魔金刚之战意玉戒	0	102	2239	10	0	0	100						92021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩玉戒一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	2	0
伏魔金刚之战意玉戒	0	102	2249	10	0	0	100						92022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林俗家弟子，经历重重试炼，方可称为伏魔金刚，佩玉戒一枚，名曰战意		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	2	0
禅修扳指	0	102	311	5	2000	0	50						3011	55	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	少林禅僧高级弟子佩带之扳指，刻有数条佛经		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	3	0
禅修扳指	0	102	312	5	2000	0	50						3012	55	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	少林禅僧高级弟子佩带之扳指，刻有数条佛经		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	3	0
传经法师之禅静扳指	0	102	321	10	10000	0	100						3021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩扳指一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0
传经法师之禅静扳指	0	102	322	10	10000	0	100						3022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩扳指一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0
传经法师之禅静玉戒	0	102	323	10	10000	0	100						3021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩玉戒一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	3	0
传经法师之禅静玉戒	0	102	324	10	10000	0	100						3022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩玉戒一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	3	0
传经法师之禅静扳指	0	102	3219	10	0	0	100						93021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩扳指一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	3	0
传经法师之禅静扳指	0	102	3229	10	0	0	100						93022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩扳指一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	3	0
传经法师之禅静玉戒	0	102	3239	10	0	0	100						93021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩玉戒一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	3	0
传经法师之禅静玉戒	0	102	3249	10	0	0	100						93022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林禅僧弟子，须遍历人世疾苦，佛法大成，方可称为传经法师，佩玉戒一枚，名曰禅静		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	3	0
斗僧扳指	0	102	411	5	2000	0	50						4011	55	1	1	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	少林武僧高级弟子佩带之扳指，刻有数条佛经		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	4	0
斗僧扳指	0	102	412	5	2000	0	50						4012	55	1	2	新手禁用	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	少林武僧高级弟子佩带之扳指，刻有数条佛经		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	4	0
护法罗汉之斗气扳指	0	102	421	10	10000	0	100						4021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩扳指一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0
护法罗汉之斗气扳指	0	102	422	10	10000	0	100						4022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩扳指一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0
护法罗汉之斗气玉戒	0	102	423	10	10000	0	100						4021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩玉戒一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	4	0
护法罗汉之斗气玉戒	0	102	424	10	10000	0	100						4022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩玉戒一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	4	0
护法罗汉之斗气扳指	0	102	4219	10	0	0	100						94021	60	1	1	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩扳指一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	4	0
护法罗汉之斗气扳指	0	102	4229	10	0	0	100						94022	60	1	2	新手禁用	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩扳指一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	4	0
护法罗汉之斗气玉戒	0	102	4239	10	0	0	100						94021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩玉戒一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	4	0
护法罗汉之斗气玉戒	0	102	4249	10	0	0	100						94022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	少林武僧弟子，须勤练少林秘传绝技，遍胜诸僧，方可称为护法罗汉，佩玉戒一枚，名曰斗气		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	4	0
护卫牌	0	102	611	5	2000	0	50						6011	55	1	1	新手禁用	\image\item\other\内院总管腰牌a1.spr	\image\item\other\内院总管腰牌a0_120.spr	唐门高级弟子巡视山庄之周时佩带的令牌		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	6	0
护卫牌	0	102	612	5	2000	0	50						6012	55	1	2	新手禁用	\image\item\other\内院总管腰牌a1.spr	\image\item\other\内院总管腰牌a0_120.spr	唐门高级弟子巡视山庄之周时佩带的令牌		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	6	0
护卫牌	0	102	613	5	2000	0	50						6013	55	2	3	新手禁用	\image\item\other\内院总管腰牌a1.spr	\image\item\other\内院总管腰牌a0_120.spr	唐门高级弟子巡视山庄之周时佩带的令牌		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	6	0
护卫牌	0	102	614	5	2000	0	50						6014	55	2	4	新手禁用	\image\item\other\内院总管腰牌a1.spr	\image\item\other\内院总管腰牌a0_120.spr	唐门高级弟子巡视山庄之周时佩带的令牌		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	2	1	6	0
秘毒刺客之隐秘佩	0	102	621	10	10000	0	100						6021	60	1	1	新手禁用	\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	唐门弟子武功小成之日，可能委以秘密任务，若得成功，可获秘毒刺客之号，戴玉佩一块，可藏毒		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0
秘毒刺客之隐秘佩	0	102	622	10	10000	0	100						6022	60	1	2	新手禁用	\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	唐门弟子武功小成之日，可能委以秘密任务，若得成功，可获秘毒刺客之号，戴玉佩一块，可藏毒		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0
秘毒刺客之隐秘佩	0	102	623	10	10000	0	100						6023	60	2	3	新手禁用	\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	唐门弟子武功小成之日，可能委以秘密任务，若得成功，可获秘毒刺客之号，戴玉佩一块，可藏毒		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0
秘毒刺客之隐秘佩	0	102	624	10	10000	0	100						6024	60	2	4	新手禁用	\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	唐门弟子武功小成之日，可能委以秘密任务，若得成功，可获秘毒刺客之号，戴玉佩一块，可藏毒		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0
秘毒刺客之隐秘环	0	102	625	10	10000	0	100						6021	60	1	1	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	唐门弟子武功小成之日，可能委以秘密任务，若得成功，可获秘毒刺客之号，戴手环一条，可藏毒		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	6	0
秘毒刺客之隐秘环	0	102	626	10	10000	0	100						6022	60	1	2	新手禁用	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	唐门弟子武功小成之日，可能委以秘密任务，若得成功，可获秘毒刺客之号，戴手环一条，可藏毒		已绑定装备	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	6	0
